datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
2020-02-01 05:00:00,2/1/2020 12:00:00 AM,RFC,MIDATL,JC,JC,2074.16,True
2020-02-01 06:00:00,2/1/2020 1:00:00 AM,RFC,MIDATL,JC,JC,1988.243,True
2020-02-01 07:00:00,2/1/2020 2:00:00 AM,RFC,MIDATL,JC,JC,1938.154,True
2020-02-01 08:00:00,2/1/2020 3:00:00 AM,RFC,MIDATL,JC,JC,1923.729,True
2020-02-01 09:00:00,2/1/2020 4:00:00 AM,RFC,MIDATL,JC,JC,1936.898,True
2020-02-01 10:00:00,2/1/2020 5:00:00 AM,RFC,MIDATL,JC,JC,2007.446,True
2020-02-01 11:00:00,2/1/2020 6:00:00 AM,RFC,MIDATL,JC,JC,2112.462,True
2020-02-01 12:00:00,2/1/2020 7:00:00 AM,RFC,MIDATL,JC,JC,2229.196,True
2020-02-01 13:00:00,2/1/2020 8:00:00 AM,RFC,MIDATL,JC,JC,2332.11,True
2020-02-01 14:00:00,2/1/2020 9:00:00 AM,RFC,MIDATL,JC,JC,2396.698,True
2020-02-01 15:00:00,2/1/2020 10:00:00 AM,RFC,MIDATL,JC,JC,2413.697,True
2020-02-01 16:00:00,2/1/2020 11:00:00 AM,RFC,MIDATL,JC,JC,2399.255,True
2020-02-01 17:00:00,2/1/2020 12:00:00 PM,RFC,MIDATL,JC,JC,2387.586,True
2020-02-01 18:00:00,2/1/2020 1:00:00 PM,RFC,MIDATL,JC,JC,2369.788,True
2020-02-01 19:00:00,2/1/2020 2:00:00 PM,RFC,MIDATL,JC,JC,2359.619,True
2020-02-01 20:00:00,2/1/2020 3:00:00 PM,RFC,MIDATL,JC,JC,2383.171,True
2020-02-01 21:00:00,2/1/2020 4:00:00 PM,RFC,MIDATL,JC,JC,2463.081,True
2020-02-01 22:00:00,2/1/2020 5:00:00 PM,RFC,MIDATL,JC,JC,2607.31,True
2020-02-01 23:00:00,2/1/2020 6:00:00 PM,RFC,MIDATL,JC,JC,2629.013,True
2020-02-02 00:00:00,2/1/2020 7:00:00 PM,RFC,MIDATL,JC,JC,2584.021,True
2020-02-02 01:00:00,2/1/2020 8:00:00 PM,RFC,MIDATL,JC,JC,2523.513,True
2020-02-02 02:00:00,2/1/2020 9:00:00 PM,RFC,MIDATL,JC,JC,2427.056,True
2020-02-02 03:00:00,2/1/2020 10:00:00 PM,RFC,MIDATL,JC,JC,2296.108,True
2020-02-02 04:00:00,2/1/2020 11:00:00 PM,RFC,MIDATL,JC,JC,2150.914,True
2020-02-02 05:00:00,2/2/2020 12:00:00 AM,RFC,MIDATL,JC,JC,2021.201,True
2020-02-02 06:00:00,2/2/2020 1:00:00 AM,RFC,MIDATL,JC,JC,1955.893,True
2020-02-02 07:00:00,2/2/2020 2:00:00 AM,RFC,MIDATL,JC,JC,1917.471,True
2020-02-02 08:00:00,2/2/2020 3:00:00 AM,RFC,MIDATL,JC,JC,1905.234,True
2020-02-02 09:00:00,2/2/2020 4:00:00 AM,RFC,MIDATL,JC,JC,1916.188,True
2020-02-02 10:00:00,2/2/2020 5:00:00 AM,RFC,MIDATL,JC,JC,1973.121,True
2020-02-02 11:00:00,2/2/2020 6:00:00 AM,RFC,MIDATL,JC,JC,2066.848,True
2020-02-02 12:00:00,2/2/2020 7:00:00 AM,RFC,MIDATL,JC,JC,2133.668,True
2020-02-02 13:00:00,2/2/2020 8:00:00 AM,RFC,MIDATL,JC,JC,2130.354,True
2020-02-02 14:00:00,2/2/2020 9:00:00 AM,RFC,MIDATL,JC,JC,2042.807,True
2020-02-02 15:00:00,2/2/2020 10:00:00 AM,RFC,MIDATL,JC,JC,2086.865,True
2020-02-02 16:00:00,2/2/2020 11:00:00 AM,RFC,MIDATL,JC,JC,2179.562,True
2020-02-02 17:00:00,2/2/2020 12:00:00 PM,RFC,MIDATL,JC,JC,2275.96,True
2020-02-02 18:00:00,2/2/2020 1:00:00 PM,RFC,MIDATL,JC,JC,2297.925,True
2020-02-02 19:00:00,2/2/2020 2:00:00 PM,RFC,MIDATL,JC,JC,2381.887,True
2020-02-02 20:00:00,2/2/2020 3:00:00 PM,RFC,MIDATL,JC,JC,2499.358,True
2020-02-02 21:00:00,2/2/2020 4:00:00 PM,RFC,MIDATL,JC,JC,2614.955,True
2020-02-02 22:00:00,2/2/2020 5:00:00 PM,RFC,MIDATL,JC,JC,2752.052,True
2020-02-02 23:00:00,2/2/2020 6:00:00 PM,RFC,MIDATL,JC,JC,2732.898,True
2020-02-03 00:00:00,2/2/2020 7:00:00 PM,RFC,MIDATL,JC,JC,2625.507,True
2020-02-03 01:00:00,2/2/2020 8:00:00 PM,RFC,MIDATL,JC,JC,2554.772,True
2020-02-03 02:00:00,2/2/2020 9:00:00 PM,RFC,MIDATL,JC,JC,2465.575,True
2020-02-03 03:00:00,2/2/2020 10:00:00 PM,RFC,MIDATL,JC,JC,2335.523,True
2020-02-03 04:00:00,2/2/2020 11:00:00 PM,RFC,MIDATL,JC,JC,2183.704,True
2020-02-03 05:00:00,2/3/2020 12:00:00 AM,RFC,MIDATL,JC,JC,2033.085,True
2020-02-03 06:00:00,2/3/2020 1:00:00 AM,RFC,MIDATL,JC,JC,1970.208,True
2020-02-03 07:00:00,2/3/2020 2:00:00 AM,RFC,MIDATL,JC,JC,1946.527,True
2020-02-03 08:00:00,2/3/2020 3:00:00 AM,RFC,MIDATL,JC,JC,1952.453,True
2020-02-03 09:00:00,2/3/2020 4:00:00 AM,RFC,MIDATL,JC,JC,2030.186,True
2020-02-03 10:00:00,2/3/2020 5:00:00 AM,RFC,MIDATL,JC,JC,2184.669,True
2020-02-03 11:00:00,2/3/2020 6:00:00 AM,RFC,MIDATL,JC,JC,2430.337,True
2020-02-03 12:00:00,2/3/2020 7:00:00 AM,RFC,MIDATL,JC,JC,2551.461,True
2020-02-03 13:00:00,2/3/2020 8:00:00 AM,RFC,MIDATL,JC,JC,2482.415,True
2020-02-03 14:00:00,2/3/2020 9:00:00 AM,RFC,MIDATL,JC,JC,2319.925,True
2020-02-03 15:00:00,2/3/2020 10:00:00 AM,RFC,MIDATL,JC,JC,2150.997,True
2020-02-03 16:00:00,2/3/2020 11:00:00 AM,RFC,MIDATL,JC,JC,2036.673,True
2020-02-03 17:00:00,2/3/2020 12:00:00 PM,RFC,MIDATL,JC,JC,1989.961,True
2020-02-03 18:00:00,2/3/2020 1:00:00 PM,RFC,MIDATL,JC,JC,1982.61,True
2020-02-03 19:00:00,2/3/2020 2:00:00 PM,RFC,MIDATL,JC,JC,2027.721,True
2020-02-03 20:00:00,2/3/2020 3:00:00 PM,RFC,MIDATL,JC,JC,2133.407,True
2020-02-03 21:00:00,2/3/2020 4:00:00 PM,RFC,MIDATL,JC,JC,2322.845,True
2020-02-03 22:00:00,2/3/2020 5:00:00 PM,RFC,MIDATL,JC,JC,2574.175,True
2020-02-03 23:00:00,2/3/2020 6:00:00 PM,RFC,MIDATL,JC,JC,2683.84,True
2020-02-04 00:00:00,2/3/2020 7:00:00 PM,RFC,MIDATL,JC,JC,2652.34,True
2020-02-04 01:00:00,2/3/2020 8:00:00 PM,RFC,MIDATL,JC,JC,2581.066,True
2020-02-04 02:00:00,2/3/2020 9:00:00 PM,RFC,MIDATL,JC,JC,2439.393,True
2020-02-04 03:00:00,2/3/2020 10:00:00 PM,RFC,MIDATL,JC,JC,2243.859,True
2020-02-04 04:00:00,2/3/2020 11:00:00 PM,RFC,MIDATL,JC,JC,2066.679,True
2020-02-04 05:00:00,2/4/2020 12:00:00 AM,RFC,MIDATL,JC,JC,1954.924,True
2020-02-04 06:00:00,2/4/2020 1:00:00 AM,RFC,MIDATL,JC,JC,1895.761,True
2020-02-04 07:00:00,2/4/2020 2:00:00 AM,RFC,MIDATL,JC,JC,1880.59,True
2020-02-04 08:00:00,2/4/2020 3:00:00 AM,RFC,MIDATL,JC,JC,1881.356,True
2020-02-04 09:00:00,2/4/2020 4:00:00 AM,RFC,MIDATL,JC,JC,1931.111,True
2020-02-04 10:00:00,2/4/2020 5:00:00 AM,RFC,MIDATL,JC,JC,2084.256,True
2020-02-04 11:00:00,2/4/2020 6:00:00 AM,RFC,MIDATL,JC,JC,2347.003,True
2020-02-04 12:00:00,2/4/2020 7:00:00 AM,RFC,MIDATL,JC,JC,2492.311,True
2020-02-04 13:00:00,2/4/2020 8:00:00 AM,RFC,MIDATL,JC,JC,2505.719,True
2020-02-04 14:00:00,2/4/2020 9:00:00 AM,RFC,MIDATL,JC,JC,2512.576,True
2020-02-04 15:00:00,2/4/2020 10:00:00 AM,RFC,MIDATL,JC,JC,2461.511,True
2020-02-04 16:00:00,2/4/2020 11:00:00 AM,RFC,MIDATL,JC,JC,2429.788,True
2020-02-04 17:00:00,2/4/2020 12:00:00 PM,RFC,MIDATL,JC,JC,2383.966,True
2020-02-04 18:00:00,2/4/2020 1:00:00 PM,RFC,MIDATL,JC,JC,2282.08,True
2020-02-04 19:00:00,2/4/2020 2:00:00 PM,RFC,MIDATL,JC,JC,2257.358,True
2020-02-04 20:00:00,2/4/2020 3:00:00 PM,RFC,MIDATL,JC,JC,2294.676,True
2020-02-04 21:00:00,2/4/2020 4:00:00 PM,RFC,MIDATL,JC,JC,2398.586,True
2020-02-04 22:00:00,2/4/2020 5:00:00 PM,RFC,MIDATL,JC,JC,2621.039,True
2020-02-04 23:00:00,2/4/2020 6:00:00 PM,RFC,MIDATL,JC,JC,2676.858,True
2020-02-05 00:00:00,2/4/2020 7:00:00 PM,RFC,MIDATL,JC,JC,2665.018,True
2020-02-05 01:00:00,2/4/2020 8:00:00 PM,RFC,MIDATL,JC,JC,2533.126,True
2020-02-05 02:00:00,2/4/2020 9:00:00 PM,RFC,MIDATL,JC,JC,2390.178,True
2020-02-05 03:00:00,2/4/2020 10:00:00 PM,RFC,MIDATL,JC,JC,2166.317,True
2020-02-05 04:00:00,2/4/2020 11:00:00 PM,RFC,MIDATL,JC,JC,2000.024,True
2020-02-05 05:00:00,2/5/2020 12:00:00 AM,RFC,MIDATL,JC,JC,1858.418,True
2020-02-05 06:00:00,2/5/2020 1:00:00 AM,RFC,MIDATL,JC,JC,1846.263,True
2020-02-05 07:00:00,2/5/2020 2:00:00 AM,RFC,MIDATL,JC,JC,1827.919,True
2020-02-05 08:00:00,2/5/2020 3:00:00 AM,RFC,MIDATL,JC,JC,1847.367,True
2020-02-05 09:00:00,2/5/2020 4:00:00 AM,RFC,MIDATL,JC,JC,2043.206,True
2020-02-05 10:00:00,2/5/2020 5:00:00 AM,RFC,MIDATL,JC,JC,2090.631,True
2020-02-05 11:00:00,2/5/2020 6:00:00 AM,RFC,MIDATL,JC,JC,2226.756,True
2020-02-05 12:00:00,2/5/2020 7:00:00 AM,RFC,MIDATL,JC,JC,2520.876,True
2020-02-05 13:00:00,2/5/2020 8:00:00 AM,RFC,MIDATL,JC,JC,2560.864,True
2020-02-05 14:00:00,2/5/2020 9:00:00 AM,RFC,MIDATL,JC,JC,2549.352,True
2020-02-05 15:00:00,2/5/2020 10:00:00 AM,RFC,MIDATL,JC,JC,2540.822,True
2020-02-05 16:00:00,2/5/2020 11:00:00 AM,RFC,MIDATL,JC,JC,2559.587,True
2020-02-05 17:00:00,2/5/2020 12:00:00 PM,RFC,MIDATL,JC,JC,2533.126,True
2020-02-05 18:00:00,2/5/2020 1:00:00 PM,RFC,MIDATL,JC,JC,2530.697,True
2020-02-05 19:00:00,2/5/2020 2:00:00 PM,RFC,MIDATL,JC,JC,2507.444,True
2020-02-05 20:00:00,2/5/2020 3:00:00 PM,RFC,MIDATL,JC,JC,2579.128,True
2020-02-05 21:00:00,2/5/2020 4:00:00 PM,RFC,MIDATL,JC,JC,2656.788,True
2020-02-05 22:00:00,2/5/2020 5:00:00 PM,RFC,MIDATL,JC,JC,2855.974,True
2020-02-05 23:00:00,2/5/2020 6:00:00 PM,RFC,MIDATL,JC,JC,2895.801,True
2020-02-06 00:00:00,2/5/2020 7:00:00 PM,RFC,MIDATL,JC,JC,2841.042,True
2020-02-06 01:00:00,2/5/2020 8:00:00 PM,RFC,MIDATL,JC,JC,2758.511,True
2020-02-06 02:00:00,2/5/2020 9:00:00 PM,RFC,MIDATL,JC,JC,2598.068,True
2020-02-06 03:00:00,2/5/2020 10:00:00 PM,RFC,MIDATL,JC,JC,2397.323,True
2020-02-06 04:00:00,2/5/2020 11:00:00 PM,RFC,MIDATL,JC,JC,2205.429,True
2020-02-06 05:00:00,2/6/2020 12:00:00 AM,RFC,MIDATL,JC,JC,2087.452,True
2020-02-06 06:00:00,2/6/2020 1:00:00 AM,RFC,MIDATL,JC,JC,2037.867,True
2020-02-06 07:00:00,2/6/2020 2:00:00 AM,RFC,MIDATL,JC,JC,2009.101,True
2020-02-06 08:00:00,2/6/2020 3:00:00 AM,RFC,MIDATL,JC,JC,2016.252,True
2020-02-06 09:00:00,2/6/2020 4:00:00 AM,RFC,MIDATL,JC,JC,2052.599,True
2020-02-06 10:00:00,2/6/2020 5:00:00 AM,RFC,MIDATL,JC,JC,2215.029,True
2020-02-06 11:00:00,2/6/2020 6:00:00 AM,RFC,MIDATL,JC,JC,2469.747,True
2020-02-06 12:00:00,2/6/2020 7:00:00 AM,RFC,MIDATL,JC,JC,2626.583,True
2020-02-06 13:00:00,2/6/2020 8:00:00 AM,RFC,MIDATL,JC,JC,2661.097,True
2020-02-06 14:00:00,2/6/2020 9:00:00 AM,RFC,MIDATL,JC,JC,2680.635,True
2020-02-06 15:00:00,2/6/2020 10:00:00 AM,RFC,MIDATL,JC,JC,2636.613,True
2020-02-06 16:00:00,2/6/2020 11:00:00 AM,RFC,MIDATL,JC,JC,2654.327,True
2020-02-06 17:00:00,2/6/2020 12:00:00 PM,RFC,MIDATL,JC,JC,2651.859,True
2020-02-06 18:00:00,2/6/2020 1:00:00 PM,RFC,MIDATL,JC,JC,2604.719,True
2020-02-06 19:00:00,2/6/2020 2:00:00 PM,RFC,MIDATL,JC,JC,2618.31,True
2020-02-06 20:00:00,2/6/2020 3:00:00 PM,RFC,MIDATL,JC,JC,2636.643,True
2020-02-06 21:00:00,2/6/2020 4:00:00 PM,RFC,MIDATL,JC,JC,2721.144,True
2020-02-06 22:00:00,2/6/2020 5:00:00 PM,RFC,MIDATL,JC,JC,2860.135,True
2020-02-06 23:00:00,2/6/2020 6:00:00 PM,RFC,MIDATL,JC,JC,2869.479,True
2020-02-07 00:00:00,2/6/2020 7:00:00 PM,RFC,MIDATL,JC,JC,2808.846,True
2020-02-07 01:00:00,2/6/2020 8:00:00 PM,RFC,MIDATL,JC,JC,2743.418,True
2020-02-07 02:00:00,2/6/2020 9:00:00 PM,RFC,MIDATL,JC,JC,2576.669,True
2020-02-07 03:00:00,2/6/2020 10:00:00 PM,RFC,MIDATL,JC,JC,2346.501,True
2020-02-07 04:00:00,2/6/2020 11:00:00 PM,RFC,MIDATL,JC,JC,2205.078,True
2020-02-07 05:00:00,2/7/2020 12:00:00 AM,RFC,MIDATL,JC,JC,2048.494,True
2020-02-07 06:00:00,2/7/2020 1:00:00 AM,RFC,MIDATL,JC,JC,1984.099,True
2020-02-07 07:00:00,2/7/2020 2:00:00 AM,RFC,MIDATL,JC,JC,1948.826,True
2020-02-07 08:00:00,2/7/2020 3:00:00 AM,RFC,MIDATL,JC,JC,1944.577,True
2020-02-07 09:00:00,2/7/2020 4:00:00 AM,RFC,MIDATL,JC,JC,2007.981,True
2020-02-07 10:00:00,2/7/2020 5:00:00 AM,RFC,MIDATL,JC,JC,2140.482,True
2020-02-07 11:00:00,2/7/2020 6:00:00 AM,RFC,MIDATL,JC,JC,2405.729,True
2020-02-07 12:00:00,2/7/2020 7:00:00 AM,RFC,MIDATL,JC,JC,2572.238,True
2020-02-07 13:00:00,2/7/2020 8:00:00 AM,RFC,MIDATL,JC,JC,2592.665,True
2020-02-07 14:00:00,2/7/2020 9:00:00 AM,RFC,MIDATL,JC,JC,2560.162,True
2020-02-07 15:00:00,2/7/2020 10:00:00 AM,RFC,MIDATL,JC,JC,2504.27,True
2020-02-07 16:00:00,2/7/2020 11:00:00 AM,RFC,MIDATL,JC,JC,2485.447,True
2020-02-07 17:00:00,2/7/2020 12:00:00 PM,RFC,MIDATL,JC,JC,2440.256,True
2020-02-07 18:00:00,2/7/2020 1:00:00 PM,RFC,MIDATL,JC,JC,2453.818,True
2020-02-07 19:00:00,2/7/2020 2:00:00 PM,RFC,MIDATL,JC,JC,2502.882,True
2020-02-07 20:00:00,2/7/2020 3:00:00 PM,RFC,MIDATL,JC,JC,2553.287,True
2020-02-07 21:00:00,2/7/2020 4:00:00 PM,RFC,MIDATL,JC,JC,2661.31,True
2020-02-07 22:00:00,2/7/2020 5:00:00 PM,RFC,MIDATL,JC,JC,2843.846,True
2020-02-07 23:00:00,2/7/2020 6:00:00 PM,RFC,MIDATL,JC,JC,2902.077,True
2020-02-08 00:00:00,2/7/2020 7:00:00 PM,RFC,MIDATL,JC,JC,2856.11,True
2020-02-08 01:00:00,2/7/2020 8:00:00 PM,RFC,MIDATL,JC,JC,2776.749,True
2020-02-08 02:00:00,2/7/2020 9:00:00 PM,RFC,MIDATL,JC,JC,2665.315,True
2020-02-08 03:00:00,2/7/2020 10:00:00 PM,RFC,MIDATL,JC,JC,2510.124,True
2020-02-08 04:00:00,2/7/2020 11:00:00 PM,RFC,MIDATL,JC,JC,2347.918,True
2020-02-08 05:00:00,2/8/2020 12:00:00 AM,RFC,MIDATL,JC,JC,2225.599,True
2020-02-08 06:00:00,2/8/2020 1:00:00 AM,RFC,MIDATL,JC,JC,2172.841,True
2020-02-08 07:00:00,2/8/2020 2:00:00 AM,RFC,MIDATL,JC,JC,2141.17,True
2020-02-08 08:00:00,2/8/2020 3:00:00 AM,RFC,MIDATL,JC,JC,2133.114,True
2020-02-08 09:00:00,2/8/2020 4:00:00 AM,RFC,MIDATL,JC,JC,2154.51,True
2020-02-08 10:00:00,2/8/2020 5:00:00 AM,RFC,MIDATL,JC,JC,2223.883,True
2020-02-08 11:00:00,2/8/2020 6:00:00 AM,RFC,MIDATL,JC,JC,2324.046,True
2020-02-08 12:00:00,2/8/2020 7:00:00 AM,RFC,MIDATL,JC,JC,2389.542,True
2020-02-08 13:00:00,2/8/2020 8:00:00 AM,RFC,MIDATL,JC,JC,2340.293,True
2020-02-08 14:00:00,2/8/2020 9:00:00 AM,RFC,MIDATL,JC,JC,2230.325,True
2020-02-08 15:00:00,2/8/2020 10:00:00 AM,RFC,MIDATL,JC,JC,2200.159,True
2020-02-08 16:00:00,2/8/2020 11:00:00 AM,RFC,MIDATL,JC,JC,2203.514,True
2020-02-08 17:00:00,2/8/2020 12:00:00 PM,RFC,MIDATL,JC,JC,2175.516,True
2020-02-08 18:00:00,2/8/2020 1:00:00 PM,RFC,MIDATL,JC,JC,2148.064,True
2020-02-08 19:00:00,2/8/2020 2:00:00 PM,RFC,MIDATL,JC,JC,2172.707,True
2020-02-08 20:00:00,2/8/2020 3:00:00 PM,RFC,MIDATL,JC,JC,2256.237,True
2020-02-08 21:00:00,2/8/2020 4:00:00 PM,RFC,MIDATL,JC,JC,2385.16,True
2020-02-08 22:00:00,2/8/2020 5:00:00 PM,RFC,MIDATL,JC,JC,2600.73,True
2020-02-08 23:00:00,2/8/2020 6:00:00 PM,RFC,MIDATL,JC,JC,2712.216,True
2020-02-09 00:00:00,2/8/2020 7:00:00 PM,RFC,MIDATL,JC,JC,2695.442,True
2020-02-09 01:00:00,2/8/2020 8:00:00 PM,RFC,MIDATL,JC,JC,2667.107,True
2020-02-09 02:00:00,2/8/2020 9:00:00 PM,RFC,MIDATL,JC,JC,2598.755,True
2020-02-09 03:00:00,2/8/2020 10:00:00 PM,RFC,MIDATL,JC,JC,2479.106,True
2020-02-09 04:00:00,2/8/2020 11:00:00 PM,RFC,MIDATL,JC,JC,2349.451,True
2020-02-09 05:00:00,2/9/2020 12:00:00 AM,RFC,MIDATL,JC,JC,2230.442,True
2020-02-09 06:00:00,2/9/2020 1:00:00 AM,RFC,MIDATL,JC,JC,2153.544,True
2020-02-09 07:00:00,2/9/2020 2:00:00 AM,RFC,MIDATL,JC,JC,2118.522,True
2020-02-09 08:00:00,2/9/2020 3:00:00 AM,RFC,MIDATL,JC,JC,2094.014,True
2020-02-09 09:00:00,2/9/2020 4:00:00 AM,RFC,MIDATL,JC,JC,2099.76,True
2020-02-09 10:00:00,2/9/2020 5:00:00 AM,RFC,MIDATL,JC,JC,2157.611,True
2020-02-09 11:00:00,2/9/2020 6:00:00 AM,RFC,MIDATL,JC,JC,2232.739,True
2020-02-09 12:00:00,2/9/2020 7:00:00 AM,RFC,MIDATL,JC,JC,2276.21,True
2020-02-09 13:00:00,2/9/2020 8:00:00 AM,RFC,MIDATL,JC,JC,2266.041,True
2020-02-09 14:00:00,2/9/2020 9:00:00 AM,RFC,MIDATL,JC,JC,2186.28,True
2020-02-09 15:00:00,2/9/2020 10:00:00 AM,RFC,MIDATL,JC,JC,2138.512,True
2020-02-09 16:00:00,2/9/2020 11:00:00 AM,RFC,MIDATL,JC,JC,2099.94,True
2020-02-09 17:00:00,2/9/2020 12:00:00 PM,RFC,MIDATL,JC,JC,2088.893,True
2020-02-09 18:00:00,2/9/2020 1:00:00 PM,RFC,MIDATL,JC,JC,2083.008,True
2020-02-09 19:00:00,2/9/2020 2:00:00 PM,RFC,MIDATL,JC,JC,2093.064,True
2020-02-09 20:00:00,2/9/2020 3:00:00 PM,RFC,MIDATL,JC,JC,2167.338,True
2020-02-09 21:00:00,2/9/2020 4:00:00 PM,RFC,MIDATL,JC,JC,2328.888,True
2020-02-09 22:00:00,2/9/2020 5:00:00 PM,RFC,MIDATL,JC,JC,2594.536,True
2020-02-09 23:00:00,2/9/2020 6:00:00 PM,RFC,MIDATL,JC,JC,2717.869,True
2020-02-10 00:00:00,2/9/2020 7:00:00 PM,RFC,MIDATL,JC,JC,2687.828,True
2020-02-10 01:00:00,2/9/2020 8:00:00 PM,RFC,MIDATL,JC,JC,2626.547,True
2020-02-10 02:00:00,2/9/2020 9:00:00 PM,RFC,MIDATL,JC,JC,2501.39,True
2020-02-10 03:00:00,2/9/2020 10:00:00 PM,RFC,MIDATL,JC,JC,2315.021,True
2020-02-10 04:00:00,2/9/2020 11:00:00 PM,RFC,MIDATL,JC,JC,2157.658,True
2020-02-10 05:00:00,2/10/2020 12:00:00 AM,RFC,MIDATL,JC,JC,2029.842,True
2020-02-10 06:00:00,2/10/2020 1:00:00 AM,RFC,MIDATL,JC,JC,1961.478,True
2020-02-10 07:00:00,2/10/2020 2:00:00 AM,RFC,MIDATL,JC,JC,1936.737,True
2020-02-10 08:00:00,2/10/2020 3:00:00 AM,RFC,MIDATL,JC,JC,1934.037,True
2020-02-10 09:00:00,2/10/2020 4:00:00 AM,RFC,MIDATL,JC,JC,1999.001,True
2020-02-10 10:00:00,2/10/2020 5:00:00 AM,RFC,MIDATL,JC,JC,2156.094,True
2020-02-10 11:00:00,2/10/2020 6:00:00 AM,RFC,MIDATL,JC,JC,2414.372,True
2020-02-10 12:00:00,2/10/2020 7:00:00 AM,RFC,MIDATL,JC,JC,2532.439,True
2020-02-10 13:00:00,2/10/2020 8:00:00 AM,RFC,MIDATL,JC,JC,2557.473,True
2020-02-10 14:00:00,2/10/2020 9:00:00 AM,RFC,MIDATL,JC,JC,2560.197,True
2020-02-10 15:00:00,2/10/2020 10:00:00 AM,RFC,MIDATL,JC,JC,2533.22,True
2020-02-10 16:00:00,2/10/2020 11:00:00 AM,RFC,MIDATL,JC,JC,2462.33,True
2020-02-10 17:00:00,2/10/2020 12:00:00 PM,RFC,MIDATL,JC,JC,2502.888,True
2020-02-10 18:00:00,2/10/2020 1:00:00 PM,RFC,MIDATL,JC,JC,2524.071,True
2020-02-10 19:00:00,2/10/2020 2:00:00 PM,RFC,MIDATL,JC,JC,2552.888,True
2020-02-10 20:00:00,2/10/2020 3:00:00 PM,RFC,MIDATL,JC,JC,2580.787,True
2020-02-10 21:00:00,2/10/2020 4:00:00 PM,RFC,MIDATL,JC,JC,2671.854,True
2020-02-10 22:00:00,2/10/2020 5:00:00 PM,RFC,MIDATL,JC,JC,2827.452,True
2020-02-10 23:00:00,2/10/2020 6:00:00 PM,RFC,MIDATL,JC,JC,2846.565,True
2020-02-11 00:00:00,2/10/2020 7:00:00 PM,RFC,MIDATL,JC,JC,2784.768,True
2020-02-11 01:00:00,2/10/2020 8:00:00 PM,RFC,MIDATL,JC,JC,2672.046,True
2020-02-11 02:00:00,2/10/2020 9:00:00 PM,RFC,MIDATL,JC,JC,2501.184,True
2020-02-11 03:00:00,2/10/2020 10:00:00 PM,RFC,MIDATL,JC,JC,2285.919,True
2020-02-11 04:00:00,2/10/2020 11:00:00 PM,RFC,MIDATL,JC,JC,2104.86,True
2020-02-11 05:00:00,2/11/2020 12:00:00 AM,RFC,MIDATL,JC,JC,1966.393,True
2020-02-11 06:00:00,2/11/2020 1:00:00 AM,RFC,MIDATL,JC,JC,1897.853,True
2020-02-11 07:00:00,2/11/2020 2:00:00 AM,RFC,MIDATL,JC,JC,1871.699,True
2020-02-11 08:00:00,2/11/2020 3:00:00 AM,RFC,MIDATL,JC,JC,1866.873,True
2020-02-11 09:00:00,2/11/2020 4:00:00 AM,RFC,MIDATL,JC,JC,1913.991,True
2020-02-11 10:00:00,2/11/2020 5:00:00 AM,RFC,MIDATL,JC,JC,2070.267,True
2020-02-11 11:00:00,2/11/2020 6:00:00 AM,RFC,MIDATL,JC,JC,2328.256,True
2020-02-11 12:00:00,2/11/2020 7:00:00 AM,RFC,MIDATL,JC,JC,2477.327,True
2020-02-11 13:00:00,2/11/2020 8:00:00 AM,RFC,MIDATL,JC,JC,2502.685,True
2020-02-11 14:00:00,2/11/2020 9:00:00 AM,RFC,MIDATL,JC,JC,2501.988,True
2020-02-11 15:00:00,2/11/2020 10:00:00 AM,RFC,MIDATL,JC,JC,2507.68,True
2020-02-11 16:00:00,2/11/2020 11:00:00 AM,RFC,MIDATL,JC,JC,2513.005,True
2020-02-11 17:00:00,2/11/2020 12:00:00 PM,RFC,MIDATL,JC,JC,2483.714,True
2020-02-11 18:00:00,2/11/2020 1:00:00 PM,RFC,MIDATL,JC,JC,2469.418,True
2020-02-11 19:00:00,2/11/2020 2:00:00 PM,RFC,MIDATL,JC,JC,2415.778,True
2020-02-11 20:00:00,2/11/2020 3:00:00 PM,RFC,MIDATL,JC,JC,2411.693,True
2020-02-11 21:00:00,2/11/2020 4:00:00 PM,RFC,MIDATL,JC,JC,2481.376,True
2020-02-11 22:00:00,2/11/2020 5:00:00 PM,RFC,MIDATL,JC,JC,2678.456,True
2020-02-11 23:00:00,2/11/2020 6:00:00 PM,RFC,MIDATL,JC,JC,2764.353,True
2020-02-12 00:00:00,2/11/2020 7:00:00 PM,RFC,MIDATL,JC,JC,2714.715,True
2020-02-12 01:00:00,2/11/2020 8:00:00 PM,RFC,MIDATL,JC,JC,2631.809,True
2020-02-12 02:00:00,2/11/2020 9:00:00 PM,RFC,MIDATL,JC,JC,2482.335,True
2020-02-12 03:00:00,2/11/2020 10:00:00 PM,RFC,MIDATL,JC,JC,2294.484,True
2020-02-12 04:00:00,2/11/2020 11:00:00 PM,RFC,MIDATL,JC,JC,2138.905,True
2020-02-12 05:00:00,2/12/2020 12:00:00 AM,RFC,MIDATL,JC,JC,1988.409,True
2020-02-12 06:00:00,2/12/2020 1:00:00 AM,RFC,MIDATL,JC,JC,1956.949,True
2020-02-12 07:00:00,2/12/2020 2:00:00 AM,RFC,MIDATL,JC,JC,1945.09,True
2020-02-12 08:00:00,2/12/2020 3:00:00 AM,RFC,MIDATL,JC,JC,1966.977,True
